,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Type of Weather,Rain Inches(last 3h),Snow Inches(last 3h)
0,Souillac,MU,2020-04-02 21:51:13,-20.52,57.52,77.0,94,40,2.24,scattered clouds,Clouds,0.0,0.0
1,Jining,CN,2020-04-02 21:51:14,35.41,116.58,39.15,80,45,1.99,scattered clouds,Clouds,0.0,0.0
2,Khatanga,RU,2020-04-02 21:51:14,71.97,102.5,15.87,91,100,18.07,overcast clouds,Clouds,0.0,0.0
3,Belyy Yar,RU,2020-04-02 21:51:14,53.6,91.39,28.4,74,17,2.24,smoke,Smoke,0.0,0.0
4,Vanimo,PG,2020-04-02 21:51:15,-2.67,141.3,79.32,84,99,8.77,light rain,Rain,0.06299212598425198,0.0
5,Avarua,CK,2020-04-02 21:51:15,-21.21,-159.78,82.4,83,40,2.24,scattered clouds,Clouds,0.0,0.0
6,Iqaluit,CA,2020-04-02 21:51:15,63.75,-68.51,3.2,65,5,9.17,clear sky,Clear,0.0,0.0
7,Hobyo,SO,2020-04-02 21:51:16,5.35,48.53,81.32,74,63,12.24,broken clouds,Clouds,0.0,0.0
8,Puerto Ayora,EC,2020-04-02 21:51:16,-0.74,-90.35,86.0,70,20,9.17,few clouds,Clouds,0.0,0.0
9,Makat,KZ,2020-04-02 21:51:16,47.65,53.35,44.96,53,99,13.91,light rain,Rain,0.004724409448818898,0.0
10,Albany,US,2020-04-02 21:50:04,42.6,-73.97,53.6,40,90,13.87,shower rain,Rain,0.0,0.0
11,Castro,BR,2020-04-02 21:51:17,-24.79,-50.01,72.84,52,99,3.78,overcast clouds,Clouds,0.0,0.0
12,Nhulunbuy,AU,2020-04-02 21:51:17,-12.23,136.77,77.0,88,33,5.26,scattered clouds,Clouds,0.0,0.0
13,Lloret De Mar,ES,2020-04-02 21:49:46,41.7,2.85,55.0,87,8,5.82,clear sky,Clear,0.0,0.0
14,Cape Town,ZA,2020-04-02 21:50:02,-33.93,18.42,66.99,72,0,8.05,clear sky,Clear,0.0,0.0
15,Paamiut,GL,2020-04-02 21:51:17,61.99,-49.67,21.49,85,0,14.79,clear sky,Clear,0.0,0.0
16,Dikson,RU,2020-04-02 21:51:18,73.51,80.55,21.42,96,100,27.29,light snow,Snow,0.0,0.01299212598425197
17,Diplo,PK,2020-04-02 21:51:18,24.47,69.58,79.25,44,0,7.09,clear sky,Clear,0.0,0.0
18,Kavaratti,IN,2020-04-02 21:51:19,10.57,72.64,82.98,72,8,5.08,clear sky,Clear,0.0,0.0
19,Rikitea,PF,2020-04-02 21:51:19,-23.12,-134.97,76.96,74,60,6.71,light rain,Rain,0.046850393700787404,0.0
