City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-03-30 21:57:59,-54.8,-68.3,55.4,50,40,19.46
1,Baker City,US,2020-03-30 21:58:00,44.77,-117.83,51.8,53,90,9.17
2,Port Hardy,CA,2020-03-30 21:58:00,50.7,-127.42,44.6,81,75,8.05
3,Margate,GB,2020-03-30 21:58:00,51.38,1.39,44.01,86,75,6.93
4,Buin,CL,2020-03-30 21:58:01,-33.73,-70.75,86.0,23,0,6.93
5,New Norfolk,AU,2020-03-30 21:57:49,-42.78,147.06,54.0,71,75,8.05
6,Busselton,AU,2020-03-30 21:53:51,-33.65,115.33,50.0,67,33,3.22
7,Touros,BR,2020-03-30 21:58:02,-5.2,-35.46,78.8,88,40,4.7
8,Georgetown,MY,2020-03-30 21:58:02,5.41,100.34,82.0,88,20,1.12
9,Carnarvon,AU,2020-03-30 21:54:04,-24.87,113.63,66.2,68,8,16.11
10,Nantucket,US,2020-03-30 21:57:21,41.28,-70.1,43.0,81,90,21.92
11,Darhan,MN,2020-03-30 21:58:03,49.49,105.92,26.44,70,0,4.61
12,Bambous Virieux,MU,2020-03-30 21:55:34,-20.34,57.76,80.6,94,40,6.93
13,Punta Arenas,CL,2020-03-30 21:56:49,-53.15,-70.92,53.6,58,40,23.04
14,Clyde River,CA,2020-03-30 21:55:12,70.47,-68.59,-0.4,91,90,24.16
15,Bartica,GY,2020-03-30 21:58:04,6.4,-58.62,78.8,83,75,9.17
16,Sindor,RU,2020-03-30 21:58:05,62.86,51.89,20.52,93,99,3.71
17,Barmer,IN,2020-03-30 21:58:05,25.75,71.38,78.6,21,21,3.11
18,Le Vauclin,MQ,2020-03-30 21:58:05,14.55,-60.84,80.6,65,40,14.99
19,Rikitea,PF,2020-03-30 21:58:06,-23.12,-134.97,78.19,80,2,8.77
20,Cape Town,ZA,2020-03-30 21:54:48,-33.93,18.42,63.0,82,20,17.22
21,Komsomolskiy,UZ,2020-03-30 21:58:09,40.43,71.72,57.2,41,79,9.17
22,Sitka,US,2020-03-30 21:58:09,57.05,-135.33,35.6,37,75,12.53
23,Saint George,US,2020-03-30 21:55:15,37.1,-113.58,62.6,29,1,9.17
24,Boysun,UZ,2020-03-30 21:58:10,38.21,67.2,55.72,34,100,1.9
25,San Patricio,MX,2020-03-30 21:58:10,19.22,-104.7,86.0,74,5,11.41
26,Cooma,AU,2020-03-30 21:58:10,-36.23,149.13,50.0,100,90,3.36
27,Hithadhoo,MV,2020-03-30 21:54:18,-0.6,73.08,83.12,69,53,11.21
28,Bure,ET,2020-03-30 21:58:11,10.7,37.07,64.63,13,59,4.61
29,Upernavik,GL,2020-03-30 21:54:36,72.79,-56.15,18.09,97,100,7.9
30,Minot,US,2020-03-30 21:58:12,48.23,-101.3,64.99,27,1,23.04
31,Palm Coast,US,2020-03-30 21:56:03,29.59,-81.21,90.0,54,1,11.41
32,Moissala,TD,2020-03-30 21:58:12,8.34,17.77,83.19,38,92,4.54
33,Ilulissat,GL,2020-03-30 21:55:01,69.22,-51.1,19.4,79,100,5.82
34,Bengkulu,ID,2020-03-30 21:58:14,-3.8,102.27,77.14,82,98,4.54
35,Cherskiy,RU,2020-03-30 21:58:14,68.75,161.3,-1.93,90,100,8.84
36,Chuy,UY,2020-03-30 21:58:14,-33.7,-53.46,73.81,77,20,9.44
37,Mataura,NZ,2020-03-30 21:53:38,-46.19,168.86,55.0,87,2,5.01
38,Hilo,US,2020-03-30 21:58:15,19.73,-155.09,73.4,83,90,8.25
39,Agua Verde,MX,2020-03-30 21:58:15,22.9,-106.05,82.4,54,75,4.7
40,Rio Grande,BR,2020-03-30 21:55:47,-32.03,-52.1,78.8,74,40,9.17
41,Nsoko,SZ,2020-03-30 21:58:16,-27.03,31.95,71.6,88,1,3.36
42,Sao Felix Do Xingu,BR,2020-03-30 21:58:16,-6.64,-51.99,80.22,87,86,2.21
43,Yulara,AU,2020-03-30 21:58:16,-25.24,130.99,73.4,43,61,8.05
44,Qaanaaq,GL,2020-03-30 21:58:17,77.48,-69.36,-3.48,73,56,3.36
45,Tuatapere,NZ,2020-03-30 21:58:17,-46.13,167.68,55.0,87,0,5.01
46,Tiksi,RU,2020-03-30 21:58:18,71.69,128.87,-13.92,86,17,3.42
47,Santa Maria,BR,2020-03-30 21:58:18,-29.68,-53.81,84.2,66,40,6.93
48,Alamos,MX,2020-03-30 21:58:18,27.02,-108.93,91.74,8,53,4.32
49,Cayenne,GF,2020-03-30 21:58:19,4.93,-52.33,80.6,78,98,3.36
50,Arraial Do Cabo,BR,2020-03-30 21:57:37,-22.97,-42.03,78.8,83,75,3.36
51,Alamosa,US,2020-03-30 21:55:49,37.47,-105.87,51.8,31,75,4.7
52,Atuona,PF,2020-03-30 21:58:20,-9.8,-139.03,82.45,75,5,19.24
53,Hobart,AU,2020-03-30 21:58:20,-42.88,147.33,54.0,71,75,8.05
54,Lebu,CL,2020-03-30 21:58:20,-37.62,-73.65,60.6,55,0,20.07
55,Ales,FR,2020-03-30 21:58:21,44.13,4.08,46.4,65,39,11.41
56,Tuktoyaktuk,CA,2020-03-30 21:58:21,69.45,-133.04,-5.8,63,40,13.87
57,Ribeira Grande,PT,2020-03-30 21:58:21,38.52,-28.7,59.7,75,41,17.69
58,Laranjeiras Do Sul,BR,2020-03-30 21:58:22,-25.41,-52.42,75.47,56,28,2.46
59,Vaini,TO,2020-03-30 21:53:39,-21.2,-175.2,77.0,94,90,4.7
60,Voloshka,RU,2020-03-30 21:58:23,61.33,40.09,16.21,93,6,4.12
61,Tabas,IR,2020-03-30 21:58:23,33.6,56.92,57.2,76,29,4.7
62,Bredasdorp,ZA,2020-03-30 21:58:24,-34.53,20.04,53.6,81,21,2.24
63,Port Alfred,ZA,2020-03-30 21:58:24,-33.59,26.89,66.0,96,0,9.71
64,Port Elizabeth,ZA,2020-03-30 21:58:24,-33.92,25.57,64.4,93,0,9.17
65,Salta,AR,2020-03-30 21:55:15,-24.79,-65.41,77.0,73,75,3.36
66,Bluff,NZ,2020-03-30 21:58:25,-46.6,168.33,55.0,87,2,5.01
67,Kudahuvadhoo,MV,2020-03-30 21:58:25,2.67,72.89,82.74,70,7,9.19
68,Vardo,NO,2020-03-30 21:56:22,70.37,31.11,15.8,78,20,14.99
69,Coahuayana,MX,2020-03-30 21:58:26,18.73,-103.68,87.8,40,20,11.41
70,Pierre,US,2020-03-30 21:54:47,44.37,-100.35,63.0,39,75,19.46
71,Dukat,RU,2020-03-30 21:58:26,62.55,155.55,3.18,84,91,2.33
72,Maragogi,BR,2020-03-30 21:58:27,-9.01,-35.22,80.26,81,100,6.44
73,Matias Barbosa,BR,2020-03-30 21:58:27,-21.87,-43.32,71.01,88,95,1.36
74,Barrow,US,2020-03-30 21:53:43,71.29,-156.79,-2.2,77,1,9.17
75,Piedade,BR,2020-03-30 21:58:28,-23.71,-47.43,75.99,72,21,6.38
76,Aykhal,RU,2020-03-30 21:58:28,66.0,111.5,8.6,84,40,6.71
77,Macomer,IT,2020-03-30 21:58:28,40.26,8.77,51.8,93,20,1.12
78,Mar Del Plata,AR,2020-03-30 21:53:37,-38.0,-57.56,64.4,93,90,5.82
79,Haapsalu,EE,2020-03-30 21:58:29,58.94,23.54,27.0,63,61,1.99
80,Marawi,PH,2020-03-30 21:58:29,8.0,124.29,68.05,76,93,1.72
81,Cordoba,AR,2020-03-30 21:54:38,-31.41,-64.18,79.0,65,75,9.17
82,Salalah,OM,2020-03-30 21:58:30,17.02,54.09,80.6,83,75,6.93
83,Isangel,VU,2020-03-30 21:55:56,-19.55,169.27,78.8,94,75,5.82
84,Yellowknife,CA,2020-03-30 21:58:07,62.46,-114.35,6.8,42,20,8.05
85,College,US,2020-03-30 21:58:31,64.86,-147.8,21.99,34,20,10.29
86,Araouane,ML,2020-03-30 21:58:31,18.9,-3.53,83.01,12,90,9.26
87,Bandrele,YT,2020-03-30 21:58:32,-12.91,45.19,82.4,74,0,9.17
88,Hualmay,PE,2020-03-30 21:58:32,-11.1,-77.61,76.78,66,88,8.75
89,Rawson,AR,2020-03-30 21:56:13,-43.3,-65.1,64.76,34,0,5.17
90,Castro,BR,2020-03-30 21:57:00,-24.79,-50.01,70.34,61,1,1.9
